ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
370	BRKS	1/2/1998	56.62	"Brooks Automation, Inc."	NASDAQ	"Industrial Machinery/Components"	"Technology"
371	BRO	4/29/1999	55.11	"Brown & Brown, Inc."	NYSE	"Specialty Insurers"	"Finance"
372	BRS	2/6/2006	33.13	"Bristow Group Inc"	NYSE	"Transportation Services"	"Transportation"
373	BRSS	5/23/2013	6.21	"Global Brass and Copper Holdings, Inc."	NYSE	"Metal Fabrications"	"Capital Goods"
374	BSET	1/2/1998	12.65	"Bassett Furniture Industries, Incorporated"	NASDAQ	"Home Furnishings"	"Consumer Durables"
375	BSFT	6/16/2010	18.15	"BroadSoft, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
376	BSRR	6/10/1999	6.48	"Sierra Bancorp"	NASDAQ	"Major Banks"	"Finance"
377	BSTC	5/24/2004	4.47	"BioSpecifics Technologies Corp"	NASDAQ	"Major Pharmaceuticals"	"Health Care"
378	BSX	1/2/1998	78.09	"Boston Scientific Corporation"	NYSE	"Medical/Dental Instruments"	"Health Care"
379	BTX	2/11/2010	11.28	"BioTime, Inc."	AMEX	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
380	BUD	9/16/2009	29.79	"Anheuser-Busch Inbev SA"	NYSE	"Beverages (Production/Distribution)"	"Consumer Non-Durables"
381	BUSE	10/6/1998	18.36	"First Busey Corporation"	NASDAQ	"Major Banks"	"Finance"
382	BV	2/24/2012	12.89	"Bazaarvoice, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
383	BVX	11/5/2003	5.59	"Bovie Medical Corporation"	AMEX	"Medical/Dental Instruments"	"Health Care"
384	BW	7/2/2015	3.3	"Babcock"	NYSE	"Building Products"	"Capital Goods"
385	BWA	1/2/1998	63.43	"BorgWarner Inc."	NYSE	"Auto Parts:O.E.M."	"Capital Goods"
386	BWEN	3/4/2008	14.26	"Broadwind Energy, Inc."	NASDAQ	"Metal Fabrications"	"Capital Goods"
387	BWINB	1/5/1998	6.78	"Baldwin & Lyons, Inc."	NASDAQ	"Property-Casualty Insurers"	"Finance"
388	BWLD	11/24/2003	41.51	"Buffalo Wild Wings, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
389	BWXT	8/2/2010	22.58	"BWX Technologies, Inc."	NYSE	"Industrial Machinery/Components"	"Energy"
390	BXC	12/14/2004	15.67	"BlueLinx Holdings Inc."	NYSE	"Wholesale Distributors"	"Capital Goods"
391	BXP	1/2/1998	60.91	"Boston Properties, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
392	BXS	1/2/1998	48.03	"BancorpSouth, Inc."	NYSE	"Major Banks"	"Finance"
393	BYD	1/2/1998	57.71	"Boyd Gaming Corporation"	NYSE	"Hotels/Resorts"	"Consumer Services"
394	BZH	1/2/1998	60.51	"Beazer Homes USA, Inc."	NYSE	"Homebuilding"	"Capital Goods"
395	C	1/2/1998	103.67	"Citigroup Inc."	NYSE	"Major Banks"	"Finance"
396	CA	1/2/1998	81.6	"CA Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
397	CAAS	8/24/2004	16.31	"China Automotive Systems, Inc."	NASDAQ	"Auto Parts:O.E.M."	"Capital Goods"
398	CAB	7/6/2004	43.82	"Cabela's Inc"	NYSE	"Other Specialty Stores"	"Consumer Services"
399	CAC	2/4/2002	5.68	"Camden National Corporation"	NASDAQ	"Major Banks"	"Finance"
400	CACB	1/2/1998	14.39	"Cascade Bancorp"	NASDAQ	"Major Banks"	"Finance"
401	CACC	1/2/1998	16.21	"Credit Acceptance Corporation"	NASDAQ	"Finance: Consumer Services"	"Finance"
402	CACH	6/3/1998	18.75	"Cache, Inc."	NASDAQ	"Apparel Stores"	"Services"
403	CACI	5/4/2009	21.49	"CACI International, Inc."	NYSE	"EDP Services"	"Technology"
404	CAE	1/2/1998	19.25	"CAE Inc"	NYSE	"Industrial Machinery/Components"	"Miscellaneous"
405	CAG	1/2/1998	81.41	"ConAgra Foods, Inc."	NYSE	"Packaged Foods"	"Consumer Non-Durables"
406	CAH	1/2/1998	76.08	"Cardinal Health, Inc."	NYSE	"Other Pharmaceuticals"	"Health Care"
407	CAKE	1/2/1998	63.78	"The Cheesecake Factory Incorporated"	NASDAQ	"Restaurants"	"Consumer Services"
408	CAL	5/4/1999	63.97	"Caleres, Inc."	NYSE	"Shoe Manufacturing"	"Consumer Non-Durables"
409	CALD	11/20/2003	21.79	"Callidus Software, Inc."	NASDAQ	"EDP Services"	"Technology"
410	CALL	9/30/2004	15.6	"magicJack VocalTec Ltd"	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
411	CALM	1/2/1998	35.02	"Cal-Maine Foods, Inc."	NASDAQ	"Farming/Seeds/Milling"	"Consumer Non-Durables"
412	CALX	3/24/2010	16.8	"Calix, Inc"	NYSE	"Telecommunications Equipment"	"Consumer Services"
